127.0.0.1 - - [25/Mar/2017:11:47:38 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:47:58 +0530] "GET /CollaborationFrontEndJava/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:01 +0530] "GET /CollaborationFrontEndJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:01 +0530] "GET /CollaborationFrontEndJava/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:01 +0530] "GET /CollaborationFrontEndJava/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:01 +0530] "GET /CollaborationFrontEndJava/resources/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:01 +0530] "GET /CollaborationFrontEndJava/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:01 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/resources/js/angular-cookies.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/headroom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/jQuery.headroom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/template.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_home/HomeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_usertype/UserTypeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_usertype/UserTypeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_userrole/UserRoleController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_userrole/UserRoleService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_user/UserProfileController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_user/UserProfileService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_event/EventService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_bulletin/BulletinController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_bulletin/BulletinService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:11:48:02 +0530] "GET /CollaborationFrontEndJava/v_blog/BlogService.js HTTP/1.1" 304 -
